book_id,goodreads_title,isbn_lookup,openlibrary_found,openlibrary_id,openlibrary_url,openlibrary_title,publish_date,page_count,publishers,primary_publisher,subjects,primary_subject,subject_count,cover_url
60,The Curious Incident of the Dog in the Night-Time,1400032717,True,OL45039295M,http://openlibrary.org/books/OL45039295M/The_Curious_Incident_of_the_Dog_in_the_Night-Time,The Curious Incident of the Dog in the Night-Time,2003,226.0,Vintage; Vintage Contemporaries,Vintage,"England, fiction; Fiction, mystery & detective, general; Young adult fiction; Literature; Autism; Fiction; Patients; Asperger's syndrome","England, fiction",81,https://covers.openlibrary.org/b/id/14614846-L.jpg
61,The Girl on the Train,1594633665,True,OL25687007M,http://openlibrary.org/books/OL25687007M/The_Girl_On_the_Train,The Girl On the Train,2015,323.0,"Penguin Books; Riverhead Books; Riverhead Books, a member of Penguin Group (USA)",Penguin Books,Witnesses; Murder victims; Alcoholics; Commuters; Fiction; Railroad travel; Strangers; nyt:mass-market-paperback=2016-09-11,Witnesses,24,https://covers.openlibrary.org/b/id/10654893-L.jpg
62,"The Golden Compass (His Dark Materials, #1)",0679879242,True,OL37033215M,http://openlibrary.org/books/OL37033215M/The_Golden_Compass,The Golden Compass,1998-07,399.0,Alfred A. Knopf,Alfred A. Knopf,Political theology; Polar bears; Kidnapping; Adventure stories; Children and adults; Open Library Staff Picks; Juvenile fiction; Fantasy,Political theology,107,https://covers.openlibrary.org/b/id/12612402-L.jpg
63,Wuthering Heights,9780393978912,False,,,,,,,,,,0,
64,My Sister's Keeper,0743454537,True,OL61350786M,http://openlibrary.org/books/OL61350786M/My_Sister's_Keeper,My Sister's Keeper,2005,,Washington Square Press,Washington Square Press,Jodi Picoult; Movie Tie-in; Adult; American Domestic; Fiction; Literature; Family; Sisters,Jodi Picoult,85,https://covers.openlibrary.org/b/id/15171603-L.jpg
65,Slaughterhouse-Five,0385333846,True,OL39221066M,http://openlibrary.org/books/OL39221066M/Slaughterhouse-Five,Slaughterhouse-Five,1999-01,288.0,Delta Trade Paperbacks,Delta Trade Paperbacks,"American science fiction; bombing of Dresden; Open Library staff picks; military fiction; war stories; World War II; World War, 1939-1945; literature and the war",American science fiction,42,https://covers.openlibrary.org/b/id/14951202-L.jpg
66,Gone with the Wind,0446675539,True,OL31851784M,http://openlibrary.org/books/OL31851784M/Gone_With_the_Wind,Gone With the Wind,"April 1, 1999",,Warner Books,Warner Books,survival; slavery; Bildungsroman; open_syllabus_project; history; historical fiction; war stories; United States Civil War,survival,59,https://covers.openlibrary.org/b/id/10541728-L.jpg
67,A Thousand Splendid Suns,9781594489512,False,,,,,,,,,,0,
68,The Perks of Being a Wallflower,0671027344,True,OL47768766M,http://openlibrary.org/books/OL47768766M/The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower,2002,213.0,MTV Books/Pocket Books,MTV Books/Pocket Books,Young adult fiction; Bildungsroman; Epistolary fiction; Bildungsromans; Diary novels; Fiction; Juvenile works; Young adult works,Young adult fiction,67,https://covers.openlibrary.org/b/id/14315052-L.jpg
70,"Ender's Game (Ender's Saga, #1)",9780812550712,False,,,,,,,,,,0,
71,Frankenstein,0141439475,True,OL3701481M,http://openlibrary.org/books/OL3701481M/Frankenstein,Frankenstein,2003,273.0,Penguin Books,Penguin Books,"Frankenstein (Fictitious character); Frankenstein's monster (Fictitious character); Fiction; Victor Frankenstein (Fictitious character); Scientists; Monsters; Fiction, horror; Frankenstein (fictitious character), fiction",Frankenstein (Fictitious character),157,https://covers.openlibrary.org/b/id/109033-L.jpg
72,The Shining (The Shining #1),0450040186,True,OL7569283M,http://openlibrary.org/books/OL7569283M/The_Shining,The Shining,"July 1, 1982",512.0,New English Library Ltd,New English Library Ltd,Fiction; horror fiction; demonology; precognition; authors; hotelkeepers; gothic & horror; paranormal fiction suspense & thriller,Fiction,46,https://covers.openlibrary.org/b/id/291331-L.jpg
73,"The Host (The Host, #1)",0316068047,True,OL24653961M,http://openlibrary.org/books/OL24653961M/The_Host,The Host,2008,619.0,"Little Brown and Company; Little, Brown and Co.",Little Brown and Company,"Betrayal; Fiction; nyt:mass_market_paperback=2011-08-13; Triangles (Interpersonal relations); New York Times bestseller; Biological invasions; Spirit possession; Fiction, romance, paranormal",Betrayal,9,https://covers.openlibrary.org/b/id/13248202-L.jpg
74,Looking for Alaska,0142402516,True,OL25757808M,http://openlibrary.org/books/OL25757808M/looking_for_alaska,looking for alaska,2012,221.0,Speak / Penguin Group (USA) Inc.,Speak / Penguin Group (USA) Inc.,Fiction; Boarding schools; Death; Grief; Interpersonal relations; Traffic accidents; Young adult fiction; Schools,Fiction,48,https://covers.openlibrary.org/b/id/14641515-L.jpg
75,"Bridget Jones's Diary (Bridget Jones, #1)",9780140280112,False,,,,,,,,,,0,
76,Sense and Sensibility,0141439661,True,OL47079577M,http://openlibrary.org/books/OL47079577M/Sense_and_Sensibility,Sense and Sensibility,2014,368.0,Penguin Books,Penguin Books,"Fiction, Romance, Historical, Regency; Inheritance and succession, fiction; Mate selection, fiction; Social classes, fiction; Family life, fiction; Text-books for foreigners; Young women,  fiction; Literature","Fiction, Romance, Historical, Regency",89,https://covers.openlibrary.org/b/id/13440853-L.jpg
77,"Holes (Holes, #1)",0439244196,True,OL60102675M,http://openlibrary.org/books/OL60102675M/Holes,Holes,2011,272.0,Yearling,Yearling,Newbery Medal; Fluch; Amistad; Fiction; Homeless persons; Junge; Juvenile corrections; Familie,Newbery Medal,67,https://covers.openlibrary.org/b/id/15122371-L.jpg
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",0307275558,True,OL24205099M,http://openlibrary.org/books/OL24205099M/The_Devil_wears_Prada,The Devil wears Prada,2006,432.0,Anchor Books; Anchor,Anchor Books,"Fashion editors; Women editors; Periodicals; Fiction; Supervisors; Publishing; New york (n.y.), fiction; Fiction, humorous, general",Fashion editors,11,https://covers.openlibrary.org/b/id/6490210-L.jpg
79,The Odyssey,0143039954,True,OL7361807M,http://openlibrary.org/books/OL7361807M/The_Odyssey_(Penguin_Classics),The Odyssey (Penguin Classics),"October 31, 2006",560.0,Penguin Classics; Penguin Books,Penguin Classics,"great_books_of_the_western_world; Poetry; Fiction; Classical literature; Open Library Staff Picks; Juvenile literature; Horses; Mythology, Greek, in literature",great_books_of_the_western_world,113,https://covers.openlibrary.org/b/id/14359124-L.jpg
80,The Little Prince,9780156012212,False,,,,,,,,,,0,
81,The Glass Castle,074324754X,True,OL7928299M,http://openlibrary.org/books/OL7928299M/The_Glass_Castle,The Glass Castle,2006,288.0,Scribner,Scribner,Poor; Problem families; Dysfunctional families; Homeless persons; Case studies; New York Times bestseller; Family relationships; nyt:paperback_nonfiction=2007-03-03,Poor,88,https://covers.openlibrary.org/b/id/12648199-L.jpg
82,Into the Wild,9780385486812,False,,,,,,,,,,0,
83,A Tale of Two Cities,9780141439612,False,,,,,,,,,,0,
84,"Jurassic Park (Jurassic Park, #1)",030734813X,True,OL9666705M,http://openlibrary.org/books/OL9666705M/Jurassic_Park,Jurassic Park,2006,467.0,Debolsillo,Debolsillo,dichogamy; corporate espionage; science fiction; cautionary tale; genetic engineering; amusement parks; dinosaurs; chaos theory,dichogamy,50,https://covers.openlibrary.org/b/id/12882869-L.jpg
86,A Time to Kill,0385338600,True,OL26644277M,http://openlibrary.org/books/OL26644277M/A_Time_to_Kill,A Time to Kill,2004 04,515.0,Delta Trade Paperbacks,Delta Trade Paperbacks,african american girls; attorney and client; capital murder; capital punishment; child sexual abuse; crime fiction; crimes against african american girls; detective and mystery fiction,african american girls,54,https://covers.openlibrary.org/b/id/8445713-L.jpg
87,Night (The Night Trilogy #1),0374500010,True,OL17193251M,http://openlibrary.org/books/OL17193251M/Night,Night,2006,120.0,"Hill and Wang, a division of Farrar, Straus and Giroux","Hill and Wang, a division of Farrar, Straus and Giroux",Holocaust literature; death marches; Talmud; Siege of Jerusalem; Cabala; Hasidism; yellow badges; Kaddish,Holocaust literature,79,https://covers.openlibrary.org/b/id/9153946-L.jpg
88,Paper Towns,014241493X,True,OL25261961M,http://openlibrary.org/books/OL25261961M/Paper_Towns,Paper Towns,2009,305.0,Penguin,Penguin,Fiction; Coming of age; Missing persons; Mystery and detective stories; Juvenile fiction; High school students; Revenge; nyt:chapter-books=2008-11-02,Fiction,53,https://covers.openlibrary.org/b/id/7089678-L.jpg
89,The Princess Bride ,0345418263,True,OL3704385M,http://openlibrary.org/books/OL3704385M/The_princess_bride,The princess bride,2003,429.0,Ballantine Books,Ballantine Books,"Castles; Fiction; Princesses; Good and evil; Princes; Fiction, action & adventure; Fiction, fantasy, general; Fiction, romance, fantasy",Castles,13,https://covers.openlibrary.org/b/id/11173424-L.jpg
90,The Outsiders,014038572X,True,OL17063415M,http://openlibrary.org/books/OL17063415M/The_Outsiders,The Outsiders,1997,180.0,Puffin Books; Speak,Puffin Books,juvenile works; violence; fiction classics; Fiction; Gangs; Family life; Family; Juvenile fiction,juvenile works,51,https://covers.openlibrary.org/b/id/8351719-L.jpg
